,Unnamed: 0,make_model,body_type,price,vat,km,hp,type,gearing_type,displacement,fuel,co2_emission,comfort&convenience,entertainment&media,extras,safety&security,gears,age_of_car,Inspection,warranty_,cons_comb,cons_city,cons_country,co2_emission6,Upholstery_Type
12907,12907,Opel Insignia,Sedans,25980,VAT deductible,,125.0,New,Manual,,Benzine,136.0,"Air conditioning,Automatic climate control,Cruise control,Multi-function steering wheel,Power windows,Rain sensor,Start-stop system","['Bluetooth', 'On-board computer', 'Radio']",,"['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Immobilizer', 'Isofix', 'Passenger-side airbag', 'Power steering', 'Side airbag']",,,No,,5.0,6.7,4.3,136.0,Cloth
12929,12929,Opel Insignia,Sedans,27900,,6800.0,125.0,Used,Manual,,Benzine,,,,,,6.0,0.0,No,12.0,,,,,
12930,12930,Opel Insignia,Sedans,27900,,6800.0,125.0,Used,Manual,,Benzine,,,,,,6.0,0.0,No,12.0,,,,,
12971,12971,Opel Insignia,Sedans,22280,VAT deductible,,81.0,New,Manual,,Benzine,113.0,"Air conditioning,Automatic climate control,Cruise control,Multi-function steering wheel,Power windows,Rain sensor,Start-stop system","['Bluetooth', 'On-board computer', 'Radio']",,"['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Immobilizer', 'Isofix', 'Passenger-side airbag', 'Power steering', 'Side airbag']",,,No,,4.0,4.9,3.9,113.0,Cloth
12976,12976,Opel Insignia,Station wagon,22167,VAT deductible,,103.0,New,Manual,,other_fuel,136.0,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrically heated windshield,Electrical side mirrors,Heated steering wheel,Hill Holder,Multi-function steering wheel,Power windows,Rain sensor,Seat heating,Split rear seats,Start-stop system,Tinted windows","['Bluetooth', 'On-board computer', 'Radio', 'Sound system']","['Alloy wheels', 'Catalytic Converter']","['Central door lock with remote control', 'Driver-side airbag', 'Electronic stability control', 'Emergency system', 'Head airbag', 'Immobilizer', 'Isofix', 'LED Daytime Running Lights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control', 'Traffic sign recognition']",6.0,,No,,6.0,7.7,4.9,136.0,Cloth
12980,12980,Opel Insignia,Sedans,25500,,9300.0,100.0,Used,Manual,,Benzine,,,,,,6.0,0.0,No,12.0,,,,,
12981,12981,Opel Insignia,Sedans,25500,,9300.0,100.0,Used,Manual,,Benzine,,,,,,6.0,0.0,No,12.0,,,,,
12990,12990,Opel Insignia,Station wagon,25382,VAT deductible,,120.0,New,Manual,,other_fuel,139.0,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrically heated windshield,Electrical side mirrors,Heated steering wheel,Hill Holder,Keyless central door lock,Leather steering wheel,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system camera,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Split rear seats,Start-stop system,Tinted windows","['Bluetooth', 'Digital radio', 'On-board computer', 'Radio', 'Sound system', 'USB']","['Alloy wheels', 'Catalytic Converter', 'Sport seats', 'Touch screen']","['ABS', 'Daytime running lights', 'Driver drowsiness detection', 'Driver-side airbag', 'Electronic stability control', 'Emergency brake assistant', 'Emergency system', 'Fog lights', 'Head airbag', 'Immobilizer', 'Isofix', 'LED Daytime Running Lights', 'LED Headlights', 'Passenger-side airbag', 'Power steering', 'Rear airbag', 'Side airbag', 'Tire pressure monitoring system', 'Traction control', 'Traffic sign recognition']",6.0,,No,,6.0,7.6,5.2,139.0,Part leather
13014,13014,Opel Insignia,Sedans,24257,VAT deductible,,120.0,New,Manual,,other_fuel,139.0,"Air conditioning,Automatic climate control,Cruise control,Electrically heated windshield,Electrical side mirrors,Heated steering wheel,Hill Holder,Keyless central door lock,Leather steering wheel,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system camera,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Split rear seats,Start-stop system,Tinted windows","['Bluetooth', 'Digital radio', 'On-board computer', 'Radio', 'Sound system', 'USB']","['Alloy wheels', 'Catalytic Converter', 'Sport seats', 'Touch screen']","['ABS', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Emergency brake assistant', 'Emergency system', 'Fog lights', 'Head airbag', 'Immobilizer', 'Isofix', 'LED Daytime Running Lights', 'LED Headlights', 'Passenger-side airbag', 'Power steering', 'Rear airbag', 'Side airbag', 'Tire pressure monitoring system', 'Traction control', 'Traffic sign recognition']",6.0,,No,,6.0,7.6,5.2,139.0,Part leather
13032,13032,Opel Insignia,Station wagon,24080,VAT deductible,,81.0,New,Manual,,Benzine,105.0,"Air conditioning,Automatic climate control,Cruise control,Electrical side mirrors,Navigation system,Power windows,Rain sensor,Start-stop system","['Bluetooth', 'On-board computer', 'Radio']",['Roof rack'],"['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Immobilizer', 'Isofix', 'Passenger-side airbag', 'Power steering', 'Side airbag']",,,No,,,4.6,3.6,105.0,Cloth
